#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
132,M. Kempf,Dif,COM,72.2,9.5,0.5,6,6,540,0,5,1,0,0,0,349,1,3,1,0,0,18,5,0,0
133,S. McTominay,Cen,NAP,71.8,15.8,-0.2,5,4,376,1,7,2,0,4,1,83,1,4,7,0,0,12,7,3,0
134,A. Gudmundsson,Att,FIO,71.7,16.2,-0.8,4,3,202,3,6,3,2,3,0,52,0,1,6,0,0,2,0,1,0
135,M. Svoboda,Dif,VEN,71.2,10.6,-0.4,8,7,652,0,2,2,0,2,0,264,3,3,4,1,0,18,18,1,0
136,M. Gabbia,Dif,MIL,71.0,10.5,0.0,4,4,360,1,5,1,0,0,0,212,1,2,1,1,0,2,2,2,0
137,N. Barella,Cen,INT,70.5,16.8,-1.2,5,5,405,1,6,1,0,4,1,208,7,8,5,1,0,6,5,3,0
138,G. Zappa,Dif,CAG,70.0,8.1,0.1,8,8,675,0,0,0,0,3,0,270,5,7,6,1,0,13,12,1,0
139,Lazaro,Dif,TOR,69.9,8.4,-0.1,8,8,655,0,6,0,0,3,3,258,9,11,4,2,0,2,9,2,0
140,G. Isaksen,Att,LAZ,69.8,9.3,-0.2,8,5,423,1,6,2,0,6,1,101,6,3,9,2,0,3,3,0,0
141,Sergi Roberto,Cen,COM,69.6,10.4,-0.1,7,5,491,0,5,1,0,3,1,330,13,7,8,3,0,15,10,0,0
142,M. Brescianini,Cen,ATA,69.4,12.8,-1.2,6,4,367,2,5,3,0,3,0,88,3,8,4,0,0,1,2,1,0
143,H. Mkhitaryan,Cen,INT,69.4,14.0,-1.5,8,8,622,0,6,0,0,0,0,312,3,3,2,2,0,10,10,3,0
144,S. Scuffet,Por,CAG,68.8,8.8,-0.2,8,8,720,0,0,0,0,0,0,146,0,0,1,0,0,0,0,1,24
145,S. Goglichidze,Dif,EMP,68.3,5.0,1.0,6,6,529,0,0,0,0,0,0,144,1,6,3,0,0,15,16,3,0
146,A. Romagnoli,Dif,LAZ,68.2,12.9,-1.1,7,7,564,0,3,2,0,0,0,327,1,8,2,1,1,13,8,0,0
147,Mario Gila,Dif,LAZ,67.9,13.3,-0.7,5,5,450,1,5,2,0,0,0,251,3,5,5,2,0,12,10,0,0
148,L. Montipo,Por,VER,67.8,8.6,-0.4,8,8,720,0,0,0,0,0,0,95,0,0,2,0,0,0,0,2,23
149,M. Olivera,Dif,NAP,67.5,11.5,-1.0,8,5,498,0,1,0,0,1,0,152,8,9,3,0,0,8,13,3,0
150,F. Zampano,Dif,VEN,67.0,7.2,0.2,8,7,658,0,3,2,0,5,0,147,2,6,5,1,0,14,14,2,0
151,G. Kastanos,Cen,VER,66.7,8.0,0.0,7,4,306,1,5,2,0,0,1,63,3,3,7,1,0,7,5,0,0
152,A. Carboni,Dif,MON,66.6,10.3,-0.2,6,6,529,0,1,0,0,2,0,246,1,9,6,2,0,14,13,1,0
153,P. Gollini,Por,GEN,66.5,11.2,-0.8,7,7,630,0,0,0,0,0,0,185,0,0,0,1,0,0,0,1,18
154,A. Gallo,Dif,LEC,66.2,9.9,-0.6,8,8,669,0,4,1,0,5,0,191,15,2,5,1,1,15,13,2,0
155,E. Delprato,Dif,PAR,65.9,9.7,-0.3,7,5,552,1,2,1,0,0,0,229,6,1,1,1,0,6,2,1,0
156,Alvaro Morata,Att,MIL,65.9,16.4,-1.6,6,4,352,2,6,4,0,2,0,62,4,8,7,2,0,5,2,1,0
157,J. Cabal,Dif,JUV,65.8,11.7,-0.3,4,4,302,0,3,0,0,3,0,181,1,4,7,0,0,4,5,3,0
158,N. Moro,Cen,BOL,65.7,7.7,0.2,6,5,384,0,6,1,0,3,1,200,9,7,2,0,0,11,8,1,0
159,R. Bellanova,Dif,ATA,65.4,14.1,-1.4,7,7,557,0,5,1,0,5,0,161,4,1,10,1,0,9,6,1,0
160,David Neres,Att,NAP,65.4,14.6,-1.4,7,0,77,1,4,2,0,5,3,31,3,2,1,0,0,1,1,0,0
161,Aaron Martin,Dif,GEN,65.3,7.7,0.2,7,7,621,0,5,2,0,1,1,145,13,11,5,1,0,16,18,1,0
162,K. Ehizibue,Dif,UDI,65.2,6.7,0.2,8,8,668,0,6,1,0,1,1,116,6,14,11,3,0,17,14,2,0
163,P. Almqvist,Att,PAR,64.8,10.7,-0.8,7,1,220,1,6,4,0,3,1,64,2,4,3,0,0,8,5,0,0
164,A. Candela,Dif,VEN,64.6,7.9,-0.1,7,7,621,0,4,0,0,6,1,157,5,5,2,1,0,12,12,2,0
165,W. Falcone,Por,LEC,64.5,8.9,-0.6,8,8,720,0,0,0,0,0,0,119,0,0,3,1,0,0,1,2,24
166,J. Karlstrom,Cen,UDI,64.3,8.5,0.0,8,7,636,0,2,0,0,0,0,216,4,5,2,1,0,14,12,2,0
167,J. Idzes,Dif,VEN,64.0,10.4,-0.6,7,7,608,0,4,1,0,1,0,267,1,13,3,1,0,8,7,2,0
168,A. Hainaut,Cen,PAR,63.5,5.0,1.0,6,2,255,1,3,2,0,4,0,74,2,2,6,0,0,8,7,0,0
169,B. Pierret,Cen,LEC,63.5,6.1,0.6,8,7,457,0,1,0,0,3,0,181,4,9,2,1,0,9,12,1,0
170,Alberto Moreno,Dif,COM,63.4,8.8,-0.2,8,8,692,0,7,4,0,2,0,310,11,9,5,3,0,12,11,0,0
171,P. Dybala,Att,ROM,63.3,16.6,-1.9,6,4,364,1,12,2,1,2,0,145,13,0,12,0,0,4,7,1,0
172,V. Mihaila,Att,PAR,63.3,8.6,-0.4,8,6,458,0,17,6,0,5,1,112,6,8,13,2,0,4,12,0,0
173,M. Soule,Att,ROM,63.1,15.2,-1.8,7,5,401,0,9,4,0,9,0,187,10,4,12,1,0,4,3,2,0
174,T. Augello,Dif,CAG,62.3,7.8,-0.2,8,7,584,0,2,0,0,8,0,182,6,5,3,0,0,10,11,1,0
175,Vitinha,Att,GEN,62.2,11.1,-0.9,7,6,503,0,14,3,0,11,1,52,2,3,12,0,0,8,10,1,0
176,J. Pohjanpalo,Att,VEN,62.0,12.8,-1.2,6,6,482,2,8,4,0,3,0,76,7,2,6,0,0,4,1,1,0
177,S. Posch,Dif,BOL,61.8,12.7,-1.3,7,6,552,0,1,0,0,3,0,265,10,13,14,1,0,16,20,0,0
178,G. Busio,Cen,VEN,61.7,11.5,-0.5,5,4,393,1,10,3,0,1,0,119,6,6,2,1,0,5,6,1,0
179,M. Carnesecchi,Por,ATA,61.4,12.8,-1.2,7,7,630,0,0,0,0,0,0,131,0,0,1,0,0,0,0,1,19
180,P. Dorgu,Dif,LEC,61.4,10.7,-0.8,7,7,585,1,15,3,0,1,0,137,6,5,20,1,1,14,14,0,0
181,A. Bianco,Cen,MON,61.3,5.4,0.4,6,3,289,1,3,1,0,2,0,135,3,6,6,0,0,8,8,0,0
182,Y. Adli,Cen,FIO,61.3,10.0,-0.5,6,2,197,1,1,1,0,2,1,122,5,0,3,1,0,6,6,0,0
183,J. Vasquez,Dif,GEN,60.9,11.4,-1.1,8,7,660,0,5,0,0,0,0,288,3,8,3,1,0,14,6,1,0
184,M. Lazzari,Dif,LAZ,60.4,10.0,-0.5,7,7,501,0,0,0,0,5,0,196,10,3,7,0,0,7,7,0,0
185,S. Walukiewicz,Dif,TOR,60.3,8.5,-0.5,7,5,513,0,3,0,0,1,0,221,1,9,0,2,0,10,7,2,0
186,T. Baldanzi,Cen,ROM,59.9,8.5,-0.5,8,0,167,1,8,1,0,3,1,57,3,1,5,0,0,6,5,0,0
187,E. Bove,Cen,FIO,59.4,8.8,-0.2,6,5,433,0,5,1,0,4,1,120,6,8,14,2,0,9,10,1,0
188,L. Giannetti,Dif,UDI,59.3,9.6,-0.4,4,4,300,1,1,1,0,0,0,110,0,3,0,3,0,12,6,1,0
189,M. Aebischer,Cen,BOL,58.7,9.8,-0.7,7,5,378,0,5,2,0,1,0,166,6,8,8,0,0,9,7,0,0
190,N. Fagioli,Cen,JUV,58.5,12.0,-1.0,7,3,374,0,8,1,0,2,0,293,4,7,2,3,0,8,9,3,0
191,Zito Luvumbo,Att,CAG,58.3,10.1,-0.9,8,7,529,0,10,1,0,7,1,64,8,16,15,0,0,0,1,1,0
192,S. Sohm,Cen,PAR,58.0,7.0,0.0,8,7,522,0,7,3,0,2,0,144,2,6,3,1,0,8,4,1,0
193,M. Ruggeri,Dif,ATA,57.7,11.5,-1.0,6,5,464,0,0,0,0,1,1,236,3,4,2,0,0,9,4,1,0
194,D. Ndoye,Att,BOL,57.3,12.7,-1.3,6,5,413,0,12,5,0,10,1,95,5,5,21,0,0,1,1,1,0
195,Hernani,Cen,PAR,57.2,8.3,-0.2,5,4,327,1,6,1,1,1,1,114,10,4,6,0,0,7,7,1,0
196,I. Van der Brempt,Dif,COM,56.5,9.1,0.1,5,4,398,0,3,1,0,5,0,177,3,5,5,1,0,17,16,0,0
197,A. Grassi,Cen,EMP,56.4,8.3,-0.2,6,6,463,0,1,1,0,1,0,151,3,6,6,2,0,13,11,3,0
198,F. Parisi,Dif,FIO,56.0,10.9,-0.6,4,1,146,1,3,3,0,3,0,57,0,4,5,0,0,5,6,1,0
199,H. Nicolussi,Cen,VEN,55.5,7.3,-0.2,6,5,389,0,7,3,0,3,1,124,6,8,7,0,1,6,9,0,0
200,C. Lykogiannis,Dif,BOL,55.1,8.7,-0.3,5,5,405,0,2,1,0,1,1,184,6,3,2,0,0,5,5,1,0
201,L. Samardzic,Cen,ATA,55.1,13.0,-1.5,6,1,236,1,12,4,0,3,0,103,11,4,3,0,0,2,2,0,0
202,E. Valeri,Dif,PAR,55.1,8.3,-0.2,6,6,413,0,2,0,0,2,1,81,2,5,6,0,0,11,6,1,0
203,M. Kone,Cen,ROM,55.1,14.3,-0.7,6,4,316,0,9,3,0,2,0,166,3,3,9,0,0,7,5,0,0
204,Pedro Pereira,Dif,MON,54.9,5.7,0.2,7,6,493,0,2,1,0,2,1,118,2,9,2,0,0,7,7,1,0
205,L. Martinez Quarta,Dif,FIO,54.7,13.2,-1.3,5,3,218,1,3,1,0,1,0,131,1,5,1,0,0,6,10,0,0
206,T. Koopmeiners,Cen,JUV,54.5,18.1,-1.9,5,4,360,0,10,2,0,2,1,188,12,4,2,0,0,4,6,3,0
207,D. Coppola,Dif,VER,54.4,9.8,-0.7,7,6,541,0,0,0,0,0,0,214,0,11,0,3,0,15,9,2,0
208,A. Meret,Por,NAP,53.6,13.7,-1.3,5,5,396,0,0,0,0,0,0,75,0,1,1,0,0,0,0,2,9
209,R. Loftus-Cheek,Cen,MIL,53.6,14.0,-2.0,7,4,419,0,5,1,0,4,0,160,7,6,13,1,0,3,7,1,0
210,E. Caprile,Por,NAP,53.6,12.3,-0.7,4,3,324,0,0,0,0,0,0,72,0,0,0,0,0,0,0,2,7
211,N. Viola,Cen,CAG,52.9,8.1,-0.4,5,3,236,1,7,4,0,3,0,59,3,4,8,0,0,6,4,0,0
212,L. Henderson,Cen,EMP,52.8,6.1,0.1,8,6,560,0,3,0,0,3,0,142,11,16,5,1,0,7,7,4,0
213,W. Coulibaly,Dif,PAR,52.8,7.7,-0.3,7,6,547,0,1,0,0,6,1,205,4,5,4,1,1,8,8,0,0
214,S. Chukwueze,Att,MIL,52.7,11.4,-1.6,8,3,271,1,9,2,0,3,0,57,5,1,5,0,0,2,3,1,0
215,J. Odgaard,Att,BOL,52.5,9.0,-0.5,6,3,292,1,8,2,0,2,0,72,1,10,5,0,0,5,5,0,0
216,M. Vojvoda,Dif,TOR,52.4,8.1,-0.4,7,6,461,0,2,0,0,0,0,256,3,6,2,2,0,6,8,1,0
