#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
467,S. Sensi,Cen,MON,0.0,11.9,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,D. Padelli,Por,UDI,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,A. Sanchez,Att,UDI,0.0,12.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,C. Pinsoglio,Por,JUV,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Andre Anderson,Cen,LAZ,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,A. Milik,Att,JUV,0.0,6.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Mario Rui,Dif,NAP,0.0,6.9,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,M. Valoti,Cen,MON,0.0,4.0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,K. Bonifazi,Dif,LEC,0.0,4.0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,J. Jankto,Cen,CAG,0.0,5.9,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,M. Vigorito,Por,COM,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,S. Perisan,Por,EMP,0.0,4.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,M. Ryan,Por,ROM,0.0,6.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Deulofeu,Att,UDI,0.0,4.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
